adecuado	adequate, suitable
rechazo	rejection, refusal
recorrido	journey, itinerary, route
registro	register, record
reino	kingdom, reign
relato	tale, story
retrato	portrait, photograph
rigor	harshness, rigor
rincón	corner, nook
rostro	face, countenance
rumbo	direction, course, bearing
sabor	taste, flavor, sensation
síntoma	symptom
socio	member, partner
talento	talent, skill
taller	workshop, shop
testimonio	testimony, evidence
toro	bull
tratado	treaty, treatise
turno, en turno a 		turn; shift		
varón	male, man
vaso	drinking glass, vase
vestido	dress 
vidrio	glass, pane
voto	vote
pintor	painter
cura	priest , cure 
doscientos	two hundred
abarcar	to encompass, comprise
abordar	to board, get in/on
absorber	to absorb, soak up
acceder	to consent, agree, accede
acomodar	to accommodate, be/make comfortable
adaptar	to adapt
agarrar	to grasp, catch
amenazar	to threaten
apagar	to turn off, extinguish
apretar	to squeeze, tighten, compress
aproximar	to come near, closer
asomar	to appear, show, stick 
atar	to tie 
avisar	to notify [also notificar]
bailar	to dance
brindar	to offer
calificar	to grade, rate, qualify
callar	to be/make quiet
caracterizar	to characterize, portray
castigar	to punish
cesar	to cease, stop
colgar	to hang up
combinar	to combine
competir	to compete
comportar	to behave
comprometer	to compromise
conquistar	to conquer, win over
contratar	to hire, contract
curar	to cure
denunciar	to denounce
desempeñar	to carry out, fulfill
deshacer	to undo, destroy, take apart
designar	to designate
dibujar	to draw, sketch
disparar	to shoot at
divertir	to amuse, entertain
doler	to hurt
ejecutar	to execute, carry out
emprender	to undertake, embark on
encender	to turn on
envolver	to wrap
equilibrar	to balance
escoger	to choose
especializar	to specialize, major in
estallar	to break out, explode, start
expulsar	to expel, throw out
extraer	to extract, take out
favorecer	to favor, help
fracasar	to fail, to be unsuccessful
garantizar	to guarantee
generar	to generate
gobernar	to govern
imitar	to imitate, copy, mimic
impresionar	to impress
inaugurar	to inaugurate, start
influir	to have influence
inspirar	to inspire, inhale
juntar	to put togerther, to get together [also reunir]
llover	to rain
optar	to choose, opt for
orientar	guide, show the way
otorgar	to give, grant, award
portar	to behave [se], carry
prender	to turn on, apprehend
prever	to foresee, anticipate, forecast
prolongar	to extend, prolong
protestar	to protest, object
quebrar	to break, bend, weaken
reconstruir	to reconstruct
retener	to keep, retain
secar	to dry
situar	to situate, place, locate
soltar	to release, loosen, let out
solucionar	to solve, settle
tapar	to cover, wrap
variar	to change, vary
vigilar	to watch over, guard
aburrido	boring, bored
admirable	admirable
adolescente	adolescent 
aéreo	aerial, air
agotado	tired, used up, sold out
amargo	bitter, sour, painful
aparente	apparent
atento	attentive, careful, polite
ausente	absent
autónomo	autonomous
bárbaro	savage, horrible
blando	soft, limp, gentle
bravo	fierce, angry
bruto	brutal, coarse, clumsy
cálido	warm
comprometido	committed, engaged
confuso	confused, mixed up
conservador	conservative
consiguiente	consequent
convencional	conventional
crudo	raw, crude, natural
culto	cultured, educated 
decisivo	decisive, conclusive
deportivo	sports, sporty
dorado	golden, gold-plated
dormido	asleep, sleeping
escolar	school, scholastic
escondido	hidden
espectacular	spectacular
espléndido	splendid, generous
estable	stable, steady
estético	esthetic
exagerado	exaggerated
existente	existing
exquisito	exquisite, superb
fatal	fateful, deadly, awful
filosófico	philosophical
frustrado	frustrated
gigantesco	giant, gigantic
hábil	skillful, clever
harto	fed up with
herido	wounded, injured 
hondo	deep
hueco	hole, cavity 
húmedo	humid, damp
ideológico	ideological
ilustre	renowned, illustrious
imprescindible	essential, indispensable
inclinado	inclined, slanting
incómodo	uncomfortable
inconsciente	unconscious, thoughtless
indiferente	indifferent
inesperado	unexpected, unforeseen
inocente	innocent, naïve
inquieto	restless, anxious
judicial	judicial
jurídico	legal, juridical
juvenil	young, juvenile
legítimo	legitimate
leve	slight, trifling, light
ligado	linked, joined
lindo	pretty, nice, lovely
luminoso	bright, luminous
maduro	mature, ripe
mágico	magic, magical
marino	marine, naval
mediado	mid, middle
metálico	metallic
mezclado	mixed
misterioso	mysterious
municipal	municipal, town
noble	noble 
obvio	obvious
peculiar	peculiar
pensado	thought-out, designed
prestado	borrowed, lent
prolongado	prolonged, lengthy
prudente	sensible, prudent
químico	chemical
realista	realistic
recto	right, straight, honest
reservado	reserved, booked
riguroso	rigorous, severe
sincero	sincere
singular	single, singular
socialista	socialist
sonoro	loud, resounding
sordo	deaf, dull
supremo	supreme
sutil	subtle
teórico	theoretical
tierno	tender, soft
tímido	timid, shy, half-hearted
trágico	tragic
transparente	transparent, clear
vasto	vast, immense, huge
voluntario	voluntary, volunteer
vulgar	vulgar, common, banal
afortunadamente	luckily, fortunately
anteriormente	previously [also previamente]
ciertamente	certainly, indeed
continuamente	continuously
enfrente	in front of
enseguida	immediately, at once
estrictamente	strictly
francamente	frankly, openly
libremente	freely
particularmente	particularly, personally
previamente, anteriormente	previously
recientemente	recently
relativamente	relatively
seguida, en seguida 		right away, at once		
este	East 
ayudante	helper, assistant
protagonista	protagonist, main character
visitante	visitor
aceptación	acceptance, approval
agencia	agency, branch
alimentación	feeding, food
armonía	harmony
arquitectura	architecture
asistencia	attendance, assistance
aspiración	ambition, aspiration
atracción	attraction
avenida	avenue
barra	bar, rod, rail
barrera	barrier, obstacle
basura	garbage, rubbish
bebida	drink, beverage
boda	marriage, wedding
bola	ball, sphere
bondad	goodness, kindness
bota	boot, wineskin
campana	bell
cercanía	nearness, proximity
certeza	certainty
charla	talk, chat
circulación	circulation, traffic
coincidencia	coincidence
conquista	conquest
convivencia	coexistence, living together
corona	crown
correspondencia	correspondence, connection
cosecha	harvest, crop
crónica	account, chronicle
cruz	cross, burden
cuota	quota, share, dues
curva	curve
democracia	democracy
demostración	demonstration
denuncia	accusation, complaint, denunciation
dependencia	dependence, dependency
derrota	defeat, loss
descripción	description
desesperación	desperation, exasperation
determinación	determination
dictadura	dictatorship
docena	dozen
doctrina	doctrine, teachings
dosis	dose
eficacia	efficiency, effectiveness
entidad	entity
escalera	stairs, ladder
esfera	sphere, globe
especialidad	specialty, specialized field
estrategia	strategy
fiebre	fever, excitement
fuga	flight, escape
geografía	geography
gestión	management, step, negotiation
gota	drop
gravedad	seriousness, gravity
guitarra	guitar
hierba	herb, grass, weed
huelga	strike, protest
humedad	humidity
identificación	identification
igualdad	equality
incertidumbre	uncertainty
índole	nature, temperament
injusticia	injustice
intimidad	private life, intimacy
invasión	invasion
joya	jewel, treasure
laguna	lagoon
limitación	limitation
madurez	maturity, ripeness
magnitud	magnitude, extent
maniobra	maneuver, operation
manzana	apple, city block
mercancía	goods, merchandise
misa	religious mass
mosca	fly 
muchacha	girl
naranja	orange 
nave	spacecraft, ship
noción	notion, idea
novia	girlfriend, bride
oración	prayer
orientación	orientation, direction
palma	palm tree, palm
pausa	pause
precaución	caution, forethought
preferencia	preference
prenda	piece of clothing
presa	dam, prisoner 
pretensión	pretension, claim
prisión	prison, imprisonment
propaganda	advertising, propaganda
publicación	publication
publicidad	advertising, publicity
queja	complaint
rabia	rage
realización	fulfillment, realization
recomendación	recommendation
reforma	reform, improvement
residencia	residence
resolución	resolution
sabiduría	wisdom, knowledge
semilla	seed
señorita	young woman
sentencia	legal sentence, judgment
síntesis	synthesis
solidaridad	solidarity, togetherness
sonrisa	smile
sospecha	suspicion
sucesión	succession, series
sustancia	substance, essence
tecnología	technology
tentación	temptation
tormenta	storm
trampa ; hacer trampa		trick, trap; to cheat		
tribu	tribe
utilidad	usefulness, utility
variación	variation
vigilancia	surveillance, vigilance
habla	speech, talking
abandono	abandonment, desertion
abuso	abuse, misuse
acento	accent, stress
adiós	goodbye
ahorro	saving, thrift
amo	master, boss 
antecedente	antecedent
aprendizaje	learning, apprenticeship
arreglo	arrangement
aviso	warning
barro	clay, mud
botón	button
cabello	hair [also pelo]
cable	cable, wiring
cajón	drawer
camión	truck, van, tanker
cansancio	tiredness, weariness
capricho	caprice, whim
celo	zeal, jealousy
cementerio	cemetery, graveyard
chiste	joke, funny story
choque	crash, collision
cigarrillo	cigarette
ciudadano	community, citizen 
colaborador	collaborator
complejo	complex 
componente	component, ingredient
concurso	competition, gathering
contexto	context
coro	choir, chorus
cruce	crossing, intersection
cuartel	quarters, barracks
cuchillo	knife
cuero	leather, skin
culto	worship, cult 
cumplimiento	fulfillment, compliment
depósito	deposit, sediment
desafío	challenge, provocation
desprecio	contempt, disdain
diablo	devil
eje	axis, shaft, crux
ejemplar	exemplary, model 
empresario	manager, entrepreneur
énfasis	emphasis
entorno	environment, surroundings
espectador	spectator, onlooker
esposo	husband, spouse
estímulo	stimulus, encouragement
estómago	stomach
experimento	experiment
ferrocarril	railway
filósofo	philosopher
foco	focus
fresco	freshness, coolness 
fundamento	foundation, ground
genio	genius, temper, genie
grano	grain, kernel
humo	smoke
impuesto	tax
incendio	fire, conflagration
inicio	beginning, start
instinto	instinct
invitado	guest
juguete	toy
labio	lip
lago	lake
lazo	bow, knot, tie, lasso
león	lion
mediodía	noon, midday
monumento	monument
nervio	nerve
nieto	grandchild
obstáculo	obstacle
olvido	forgetfulness, omission
pacto	pact, agreement
papa	Pope , potato 
paraíso	paradise
pasillo	hall, corridor
pecado	sin
pedazo	piece, bit
porvenir	future, time to come
pozo	well, shaft
prejuicio	prejudice
presupuesto	budget
pretexto	pretext, excuse
príncipe	prince
propietario	owner
refugio	shelter, refuge
requisito	prerequisite, requirement
respaldo	support, backing, back
resumen	summary
robo	theft, robbery
saco	sack, bag, plunder
saludo	greeting
sello	stamp, seal
sombrero	hat, sombrero
suceso	event, incident
sufrimiento	suffering
tejido	fabric, tissue
tesoro	treasure, thesaurus
tránsito	traffic, transit
traslado	transfer
tribunal	court
tronco	trunk, torso
trozo	piece, chunk
tubo	tube, pipe
túnel	tunnel
vapor	vapor, steam
verso	verse, poem
vicio	vice, bad habit, defect
arquitecto	architect
científico	scientist 
corredor	broker, corridor, runner
investigador	researcher, investigator
obrero	working class 
técnico	technician 
postre; a la postre 		dessert; in the end
abrazar	to hug, embrace
abundar	to be plentiful
acentuar	to accent, stress
acoger	to welcome, accept
adivinar	to guess, solve
afrontar	to face, confront
ahogar	to drown, choke, flood
ahorrar	to save 
alargar	to enlarge, elongate
alegrar	to be/make happy
alzar	to lift, raise
anotar	to annotate, jot, note
armar	to arm, put together
asimilar	to assimilate
asustar	to frighten, scare
autorizar	to authorize, legalize
brillar	to shine, twinkle, be outstanding
brotar	to sprout
calentar	to warm, heat
cansar	to tire, annoy
centrar	to center, focus, base on
concretar	to specify, materialize, fulfill
contraer	to contract, shrink, abbreviate
conversar	to converse, talk
convivir	to coexist
convocar	to convene, summon
deducir	to deduce, infer
derrotar	to defeat, beat
descartar	to discard, reject, rule out
desviar	to deviate, divert, change
detectar	to detect
diferenciar	to differentiate, distinguish
difundir	to spread out
diseñar	to design, develop
distraer	to distract
efectuar	to carry out, cause to happen
encantar	to be very pleasing to
enriquecer	to enrich
enterrar	to bury
entretener	to entertain, amuse
esforzar	to make an effort, exert oneself
estimular	to stimulate, encourage
exagerar	to exaggerate
extrañar	to miss, long for
flotar	to float, flutter
frenar	to brake, restrain
generalizar	to generalize, popularize
guiar	to guide, lead, steer
habitar	to inhabit
heredar	to inherit
iluminar	to illuminate, light up
imprimir	to print
inducir	to lead to, induce
jurar	to swear, take an oath
lamentar	to regret
librar	to liberate, set free
lucir	to show off, shine
originar	to give rise to, cause
pescar	to fish
picar	to bite, sting, itch, chop
pisar	to step on
planear	to plan
plantar	to plant
presionar	to press, pressure
privar	to deprive of
proclamar	to proclaim
progresar	to progress
promover	to promote
proseguir	to continue, carry on
proveer	to provide
redactar	to edit, write, compose
reflexionar	to reflect, consider on
reiterar	to reiterate, repeat
relatar	to tell, narrate
remontar	to go back to time
reparar	to repair, to mend, to fix
rescatar	to rescue, save
residir	to reside, live in
restar	to subtract, minimize
retroceder	to go back
rezar	to pray, recite
sacrificar	to sacrifice
sacudir	to shake, jolt
sembrar	to sow, plant
sobrar	to be too much, left over
sonreír	to smile
sujetar	to fasten, attach, hold
suprimir	to suppress, delete
tejer	to sew, weave
tolerar	to tolerate, put up with
tragar	to swallow
transportar	to transport, carry
trazar	to draw, trace
triunfar	to triumph
tropezar	to trip, stumble
valorar	to value
violar	to violate, trespass, rape
altísimo	very high, tall
ambicioso	ambitious, greedy
amoroso	loving, affectionate
animado	excited, lively
ansioso	anxious eager
auxiliar	auxiliary, ancillary
británico	British
brusco	brusque, abrupt, sudden
callado	quiet, reserved
casero	homemade
célebre	famous, renowned
colgado	hanging
cómico	comic
contemporáneo	contemporary
contradictorio	contradictory
décimo	tenth
delgado	thin, skinny
delicioso	delicious, delightful, charming
despacio	slow, slowly
destacado	outstanding, leading
dicho	saying, proverb 
discreto	discreet, tactful
disponible	available
distinguido	distinguished
dotado	endowed, gifted
dudoso	doubtful, dubious
ejecutivo	executive
electoral	electoral
electrónico	electronic
enamorado	in love
encantado	pleased, delighted
encendido	turned on, burning
enérgico	energetic, vigorous
espantoso	frightening, dreadful
estupendo	marvelous, stupendous
estúpido	stupid, idiotic
financiero	financial
flexible	flexible
formidable	formidable, tremendous
frágil	fragile, weak
genial	brilliant, inspired
geográfico	geographical
gracioso	funny, charming, amusing
grato	agreeable, pleasant
heroico	heroic
honesto	honest
ignorante	ignorant
ilustrado	learned, illustrated
indirecto	indirect
innecesario	unnecessary
innumerable	innumerable, countless
insoportable	unbearable, intolerable
insuficiente	insufficient
intacto	intact
intermedio	interim, intermediate 
interminable	endless, interminable
laboral	labor, industry 
lamentable	regrettable
mediano	average, medium, ordinary
miserable	wretched, miserable
molesto	annoyed, bothered, upset
mortal	mortal, lethal, deadly 
mudo	mute, silent
notorio	notorious, noticeable
pacífico	peaceful
pálido	pale, ghastly, faded
pasajero	passenger 
policial	police 
potente	potent, powerful
preferible	preferable
preso	prisoner 
procedente, proveniente	coming from
psicológico	psychological
quemado	burned, burnt
quieto	still, motionless, calm
referente	concerning
regional	regional
repentino	sudden [also súbito]
restante	remaining
ridículo	ridiculous, absurd 
rotundo	categorical
satisfactorio	satisfactory
sexto	sixth
silencioso	quiet, silent
simbólico	symbolic
solemne	solemn
soltero	single, not married
sorprendido	surprised
sostenido	sustained, steady
tardío	late, belated
teatral	theatrical
temporal	temporary
tenso	tight, tense
usado	worn out, old, used
vago	vague
valiente	brave, courageous, bold
vano	vain, useless
vegetal	plant, vegetable 
verbal	verbal, oral
vertical	vertical, upright
vinculado	connected
automáticamente	automatically
concretamente	specifically, exactly
curiosamente	strangely, funnily enough
desgraciadamente	unfortunately
difícilmente	with difficulty
habitualmente	habitually
indudablemente	doubtless, undoubtedly
ojalá	I hope that
permanentemente	permanently
propiamente	exactly, properly
seriamente	seriously
sucesivamente	successively, step by step
tranquilamente	calmly, peacefully
ama	housekeeper, housewife
asistente	assistant
cantante	singer
civil	civilian 
descendiente	descendant
dirigente	leader, director, manager
abundancia	abundance
advertencia	warning, notice
afición	fondness, interest
agresión	aggression, attack
alarma	alarm
aldea	small village
alfombra	rug, carpet mat
ansiedad	anxiety
apertura	opening, beginning
audiencia	audience, hearing
autonomía	autonomy, range
bala	bullet, shot
barba	beard
caña	cane, reed
carencia	lack, shortage [also falta]
catástrofe	catastrophe
celebración	celebration
célula	cell 
cintura	waist
clave	key 
comedia	comedy, play, pretense
complicación	complication
concesión	awarding, concession
conexión	connection, relationship
confesión	confession, admission
constancia	perseverance
continuidad	continuity
conveniencia	convenience, usefulness
corbata	tie, sash
decadencia	decline, decay
depresión	depression, slump
desconfianza	distrust
diversión	fun, entertainment
envidia	envy
escasez	scarcity, shortage
espada	sword
estabilidad	stability
estadística	statistic
estatua	statue
excelencia	excellence
feria	fair, festival
fibra	fiber, grain
ficción	fiction
finalidad	purpose, aim
fortaleza	fortress, strength
frustración	frustration
galería	gallery, balcony
gallina	hen, coward
garganta	throat, gorge
grandeza	greatness, size
grasa	grease, fat
hembra	female, woman
ideología	ideology
ignorancia	ignorance
indiferencia	indifference
inspiración	inspiration, inhalation
jerarquía	hierarchy, rank
junta	meeting, conference, seam
justificación	justification
lámpara	lamp
lana	wool
lástima	shame, pity
licencia	license, permission
magia	magic
manga	sleeve
máscara	mask
matemática	mathematics
mejora	improvement
mentalidad	mindset, mind
molestia	bother, nuisance, trouble
orquesta	orchestra, dance band
paja	straw, thatching
pauta	guideline, rule, standard
pelea	fight, quarrel
permanencia	permanence, tenure
persecución	pursuit, persecution
pesadilla	nightmare
pesca	fishing
petición	request, petition
placa	plaque, plate, badge
plenitud	fullness, abundance
porción	part, portion, share
porquería	filth, junk
previsión	forecast, precaution
prima	female cousin, down payment
prisa	hurry
proximidad	proximity
proyección	projection, screening
pureza	purity, chastity
rata	rat
raya	line, ray, stripe
receta	recipe, prescription
recuperación	recovery, recuperation
renta	income, rent 
república	republic
respiración	respiration, breath
rutina	routine
secuencia	sequence
sed	thirst
seda	silk
seriedad	seriousness
sierra	mountain range, saw
tapa	cover, lid
taza	cup, bowl
timidez	shyness, timidity
tinta	ink
tontería	stupidity, stupid thing [also estupidez]
traición	treason, betrayal
transición	transition
trascendencia	transcendent nature, significance
trayectoria	trajectory, path
uña	nail
venganza	revenge, vengeance
de veras vera 		really, for real
acero	steel
adorno	decoration, adornment
aficionado	fan, devotee
agujero	hole, opening
alcalde	mayor
aliento	breath, courage, spirit
almuerzo	lunch
amanecer	daybreak, dawn 
anillo	ring
aplauso	applause, praise, acclaim
archivo	archive, file, filing cabinet
ascenso	promotion, climb
asesinato	murder, assassination
asesino	killer, assassin
atractivo	attraction, charm 
auxilio	help, aid, assistance
balance	outcome, balance
bando	faction, side
beso	kiss
billete	ticket, bill, note
brillo	shine, twinkling, sparkle
bronce	bronze
cáncer	cancer
cañón	canyon, cannon
cartel	poster
cartón	cardboard, carton, sketch
casco	helmet
castillo	castle
cauce	riverbed, ditch
cemento	cement, concrete
centenar	hundred 
cerdo	pig, sow, slob
cerro	hill
comedor	dining room
congreso	congress
coraje	courage, toughness
costado	side, flank
costo	price, cost, expense
crítico	critic 
cuaderno	notebook, workbook
defensor	defender
demonio	demon, devil
desayuno	breakfast
domicilio	residence, address
dormitorio	bedroom, dormitory
empeño	insistence, determination
encanto	charm, spell
enfrentamiento	confrontation
engaño	deceit, falsehood, hoax
entendimiento	understanding
escudo	shield, coat of arms
exilio	exile
filo	cutting edge
fragmento	fragment, passage
globo	balloon, globe
guante	glove
hallazgo	finding, discovery
horno	oven, furnace
imperio	empire, fortune
incidente	incident
indicio	indication, sign
infierno	hell, inferno
ingenio	ingenuity, talent, wit
invento	invention
ladrillo	brick
lápiz	pencil
logro	success, achievement
macho	male, manliness
maíz	corn, maize
malestar	discomfort, unease, unrest
mandato	mandate, order, command
manifiesto poner de manifiesto 		to show	
ministerio	ministry
mono	monkey
monstruo	monster, monstrosity
nido	nest
nudo	knot
obispo	bishop
observador	observer
pánico	panic
párrafo	paragraph
patrimonio	patrimony, inheritance
petróleo	oil, petroleum
plano	flat, plain, even, level 
plomo	lead, bullet
pollo	chicken
porcentaje	percentage
portador	bearer, carrier
prisionero	prisoner
pulmón	lung
quehacer	task, job, chore
rango	rank, range
rastro	track, sign, flea market
razonamiento	reasoning
recinto	grounds, precincts
reparto	distribution, delivery
restaurante	restaurant
reto	challenge, defiance
retorno	return [also regreso]
rito	rite, ritual
salario	salary, wages
seguro	insurance 
suicidio	suicide
susto	fright, scare
televisor	television set
timbre	doorbell, bell, seal, stamp
toque	touch, ringing, warning
trámite	procedure, step, requirement
tramo	section, stretch, plot
transcurso	passing, course, lapse
trayecto	trajectory, course, path
viajero	traveler, passenger
vientre	womb, belly
vigor	force, strength, vigor
vínculo	tie, bond, link
cazador	hunter
conductor	driver, conductor
enfermero	nurse
historiador	historian
pastor	shepherd, pastor
diecisiete	seventeen
noventa	ninety
quinientos	five hundred
trescientos	three hundred
excepto	except for
acelerar	to accelerate, speed up
acertar	to get right
acostar	to put/go to bed
adorar	to worship, adore
agitar	to shake, move
aislar	to isolate, insulate
alentar	to encourage
aliviar	to lighten, relieve, comfort
alternar	to alternate
aludir	to allude to
aplastar	to flatten, crush, smash
aplaudir	to clap, applaud
apoderar	to take power
arder	to burn, glow
arrebatar	to snatch, grab
arriesgar	to risk, venture
asentar	to settle, establish, locate
asesinar	to murder, assassinate
asignar	to assign, allocate
bañar	to bathe, take a bath
barrer	sweep, clean out
batir	to beat an object
bautizar	to baptize, christen
beneficiar	to benefit
burlar	to mock
calmar	to calm, soothe, relieve
cazar	to hunt
cenar	to dine
clavar	to nail
cocinar	to cook
compensar	to compensate, make up for
conectar	to connect, plug in
culminar	to culminate, accomplish
debatir	to debate, discuss
demorar	to delay, take time
desatar	to untie, unleash, spark off
descargar	to unleash, unload
descuidar	to neglect
desembocar	to flow, lead into
desplegar	to unfold, deploy
despreciar	to despise, scorn
disimular	to disguise, hide, pretend
disolver	to dissolve
disputar	to dispute, contest
eludir	to evade, avoid, elude
emerger	to emerge, surface
enamorar	to fall in love
encajar	to insert, fit well
ensayar	to test, rehearse
evolucionar	to evolve, develop
excluir	to exclude, reject
fallecer	to pass away 
finalizar	to end, finalize
fluir	to flow
herir	to wound, hurt
improvisar	to improvise
insinuar	to insinuate, hint
localizar	to locate, find, localize
motivar	to motivate, cause
nadar	to swim
navegar	to navigate, sail
ocasionar	to occasion, bring about
odiar	to hate
oler	to smell
perfeccionar	to perfect
perjudicar	to endanger
persistir	to persist
preceder	to precede
precipitar	to plunge, hurl, rush
preservar	to preserve
presidir	to preside over
presumir	to boast, show off, suppose
prevenir	to avoid, prevent [also evitar]
programar	to plan, program
reemplazar	to replace
reforzar	to reinforce, strengthen
regir	to rule, govern, manage
remitir	to remit
reponer	to replace, restore
resumir	to summarize
retomar	to retake, restart
rodar	to roll, run, scatter
rogar	to implore, pray, ask
rozar	to touch lightly
soplar	to blow 
subrayar	to underline, highlight, emphasize
suscitar	to arouse, provoke
temblar	to tremble, shake
tornar	to transform, turn
velar	to watch over
volcar	to turn/knock over, empty
votar	to vote
abstracto	abstract
agrícola	agricultural, farming
ambiguo	ambiguous
anual	annual, yearly
apasionado	passionate
apretado	tight, jammed
apto	appropriate, fit, able
asombroso	amazing
áspero	rough, coarse, harsh
asustado	scared, frightened
autoritario	authoritarian
autorizado	authorized
biológico	biological
brutal	brutal, savage
civilizado	civilized
comparable	comparable
complementario	additional, complementary
consagrado	dedicated, consecrated
costoso	costly, expensive
denso	heavy, dense, thick
desaparecido	missing
desigual	uneven, unequal
despierto	awake
diplomático	diplomatic 
disperso	spread out
dominante	dominant
educativo	educational
eficiente	efficient
egoísta	selfish
embarazada	pregnant
encantador	charming
espeso	thick, dense, stiff
estático	static, motionless
estudioso	studious
exigente	demanding, urgent
exótico	exotic
fabuloso	fabulous, fantastic
fascinante	fascinating
feroz	ferocious, fierce
flaco	thin, frail
franco	open, frank, outspoken
funcional	functional
furioso	furious
glorioso	glorious
horizontal	horizontal
hostil	hostile, unfriendly
imaginario	imaginary
impreso	printed
incierto	uncertain
inédito	unpublished
ingenuo	naive, ingenuous
insignificante	insignificant
insólito	unusual, uncommon
integrante	integral, part of a group
inverso	inverse, opposite
invisible	invisible
latinoamericano	Latin American
leal	loyal, faithful
lingüístico	linguistic
liso	smooth, flat, straight
lujoso	luxurious
manual	manual, handbook 
marginal	marginal, minor
masivo	mass, massive
matemático	mathematical
mensual	monthly
orgánico	organic
parcial	partial, biased
pardo	brown, dark, dim
penoso	painful, laborious
pésimo	dreadful, awful
poblado	populated
privilegiado	privileged
progresivo	progressive
propicio	appropriate, suitable
rebelde	rebel 
repleto	full, overcrowded
representativo	representative 
respetuoso	respectful
saludable	healthy, wholesome [also sano]
sangriento	bloody
solar	solar
sospechoso	suspicious
subterráneo	underground
sumo	utmost, highest
tecnológico	technological
temeroso	fearful
tendido	spread, hung, laid out
tibio	lukewarm
torpe	clumsy, awkward, slow
tropical	tropical
vasco	Basque
vigente	in force, valid
virgen	virgin 
adónde	to where?
antaño	in days gone by, last year
antemano	beforehand, in advance
asimismo	as well, also, moreover
diariamente	daily 
enormemente	enormously
enteramente	completely, entirely
extraordinariamente	extraordinarily
fuertemente	strongly
inclusive	including, even
inevitablemente	inevitably
intensamente	intensely
lamentablemente	regrettably
obviamente	obviously
simultáneamente	simultaneously
sinceramente	sincerely
suavemente	softly
cuidadosamente	carefully
compatriota	fellow countryman
rival	rival
acusación	accusation, charge
adquisición	acquisition
aguja	needle, spire, stylus
alianza	alliance
alusión	allusion, hint
amplitud	breadth, extent, range
antigüedad	antiquity, seniority
aprobación	approval, consent
asamblea	assembly
beca	scholarship, grant
bestia	beast, brute
bicicleta	bicycle
cabecera	head, header
capilla	chapel
caridad	charity
casita	cottage
ceniza	ash
censura	censorship, criticism
chispa	spark
clínica	clinic
comunión	communion
condena	sentence in prison, penalty
conservación	conservation
corrección	correction, amendment
cortina	curtain, screen
crueldad	cruelty, harshness
cuadra	city block, stable
cubierta	covering, top, lid
cumbre	summit, top
cuna	cradle, birth, lineage
cúpula	cupola, dome
dedicación	dedication, devotion
devoción	devotion
dieta	diet
difusión	spread, diffusion
disputa	dispute, argument, quarrel
dueña	landlady, owner 
dureza	hardness, toughness
elaboración	production [also producción]
electricidad	electricity
especulación	speculation, conjecture
espina	thorn, spine
ética	ethics
etiqueta	label, etiquette
exactitud	accuracy
excursión	excursion
excusa	excuse
expansión	expansion, spreading
expedición	expedition
explotación	exploitation, cultivation
fachada	front of a building
ficha	index card, chip, token
fidelidad	faithfulness, accuracy
franja	strip, stripe, fringe
generosidad	generosity
gira	tour
goma	rubber
hacienda	ranch
harina	flour
hazaña	deed, heroic feat
incapacidad	inability, incompetence
inocencia	innocence
inscripción	inscription, registration
insistencia	insistence, persistence
interrupción	interruption
intuición	intuition
invención	invention, contrivance
ira	rage, wrath
ironía	irony
lámina	sheet of metal
lealtad	loyalty, faithfulness
lentitud	slowness
llama	flame, llama
localidad	town, locality
maquinaria	machinery
mariposa	butterfly, wing nut
mecánica	mechanics, mechanism
medalla	medal, medallion
monja	nun
muralla	city wall
naturalidad	ease, spontaneity
oveja	sheep, ewe
paloma	dove
parada	transportation stop
pertenencia	membership, property
peseta	peseta 
peste	plague, pestilence, pest
pila	battery, pile, sink
pistola	gun, pistol
plataforma	platform, springboard
polémica	polemics, argument
proposición	proposition
prudencia	prudence, moderation
rebeldía	rebelliousness, defiance
redacción	editing, wording, essay
renuncia	resignation, renunciation
réplica	answer, retort, copy
represión	repression
reproducción	reproduction
retirada	retreat, withdrawal
revelación	revelation
revisión	checking revision
rienda	rein, restraint
ronda	round 
sábana	bed sheet
salvación	salvation, rescue
semejanza	similarity, likeness
seña	sign, mark, seal
serenidad	serenity, calm
solicitud	request, application
sugerencia	suggestion
supervivencia	survival
ternura	tenderness
tolerancia	tolerance
tortura	torture
trama	plot, theme
ubicación	position, location
uva	grape
vanidad	vanity, conceit
variante	variant, difference
vegetación	vegetation
vena	vein
villa	village, villa
víspera	eve
vitalidad	vitality, health
ansia	anxiety, anguish
aula	classroom
abismo	abyss, large gap
abrazo	hug, embrace
absurdo	absurdity, nonsense
ácido	acid
acorde	agreement, accord
adversario	adversary
algodón	cotton
alquiler	rent, rental
ancho	width 
aniversario	anniversary
antepasado	ancestor
aporte	contribution 
apunte	note, annotation
asalto	assault, robbery
ascensor	elevator
asombro	amazement, astonishment
bote	small boat
bulto	bulk, shape
buque	large ship
calendario	calendar
campamento	camp, camping
carbón	coal, charcoal
chocolate	chocolate
cinturón	belt
circo	circus
circuito	circuit, circumference, track
cobre	copper
colectivo	collective, group 
colmo; para colmo 		climax; to top it all
comandante	commander, commanding officer
coronel	colonel
correo	mail, post office
decreto	decree, order
descenso	decline, descent, lowering
desfile	parade, line, formation
desierto	deserted, desolate 
desplazamiento	movement, removal
diagnóstico	diagnosis
dicho	aforementioned, said 
diputado	deputy, member
discípulo	disciple
disgusto	disgust, annoyance
