date,weather,temp_high
2024-11-25,Rain,15.8
2024-11-26,Rain,12.8
2024-11-27,Snow,5.5
2024-11-28,Snow,4.8
2024-11-29,Rain,5.7
2024-11-30,Cloudy,9.6
2024-12-01,Rain,13.4
2024-12-02,Rain,15.2
2024-12-03,Cloudy,4.9
2024-12-04,Cloudy,6.2
2024-12-05,Rain,7.9
2024-12-06,Rain,7.2
2024-12-07,Cloudy,5.0
2024-12-08,Sunny,4.0
2024-12-09,Cloudy,5.6
2024-12-10,Cloudy,6.5
2024-12-11,Cloudy,5.9
2024-12-12,Cloudy,4.7
2024-12-13,Snow,3.0
2024-12-14,Cloudy,3.0
2024-12-15,Snow,5.6
2024-12-16,Snow,5.2
2024-12-17,Cloudy,5.2
2024-12-18,Cloudy,-0.4
2024-12-19,Cloudy,3.2
2024-12-20,Rain,5.6
2024-12-21,Snow,3.8
2024-12-22,Sunny,1.0
2024-12-23,Cloudy,5.5
2024-12-24,Cloudy,4.4
2024-12-25,Cloudy,6.1
2024-12-26,Cloudy,4.0
2024-12-27,Snow,1.2
2024-12-28,Cloudy,-0.2
2024-12-29,Cloudy,4.7
2024-12-30,Cloudy,9.1
2024-12-31,Rain,3.8
2025-01-01,Cloudy,7.8
2025-01-02,Cloudy,5.7
2025-01-03,Snow,3.1
2025-01-04,Cloudy,5.7
2025-01-05,Snow,7.0
2025-01-06,Snow,4.9
2025-01-07,Snow,1.5
2025-01-08,Snow,2.3
2025-01-09,Snow,-3.6
2025-01-10,Cloudy,-2.1
2025-01-11,Cloudy,-0.8
2025-01-12,Cloudy,3.1
2025-01-13,Cloudy,4.6
2025-01-14,Cloudy,8.3
2025-01-15,Cloudy,1.0
2025-01-16,Cloudy,4.9
2025-01-17,Cloudy,5.1
2025-01-18,Cloudy,7.1
2025-01-19,Cloudy,8.1
